"sku","name","category_name","item_type","description","strength","dosage_form","uom_abbreviation","is_batch_tracked","is_expiry_tracked","is_cold_chain","is_hazardous","is_essential","is_controlled","is_asset","replenishment_type","valuation_method","manufacturers","source"
"DRUG-gadoteric-acid-0348","Gadoteric Acid","Diagnostic Contrast Media","drug","Gadoteric Acid | (0.5 mmol/ml) | Dosage: Injection | Mfr: Ibn Sina Pharmaceuticals Ltd.","0.5 mmol/ml","Injection","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Ibn Sina Pharmaceuticals Ltd.","medex.com.bd"
"DRUG-ganciclovir-ophthalmic-0349","Ganciclovir (Ophthalmic)","Antivirals","drug","Ganciclovir (Ophthalmic) | (0.0015, Aristopharma Ltd., Ibn Sina Pharmaceuticals Ltd.) | Dosage: 0.0015, Ophthalmic Gel | Mfr: General Pharmaceuticals Ltd., Nipa Pharmaceuticals Ltd.","0.0015; Aristopharma Ltd.; Ibn Sina Pharmaceuticals Ltd.; Popular Pharmaceuticals Ltd.; UNIDO Pharmaceuticals Ltd.","0.0015; Ophthalmic Gel","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","General Pharmaceuticals Ltd.; Nipa Pharmaceuticals Ltd.; Opsonin Pharma Ltd.; Virovir; Xoviral; Zirgan","medex.com.bd"
"DRUG-gatifloxacin-0350","Gatifloxacin","Antibiotics","drug","Gatifloxacin | (0.003, 0.005, Aristopharma Ltd.) | Dosage: 0.003, 0.005, Eskayef Pharmaceuticals Ltd. | Mfr: Gatipro, Gatsina","0.003; 0.005; Aristopharma Ltd.; General Pharmaceuticals Ltd.; Ibn Sina Pharmaceuticals Ltd.; OSL Pharma Limited; Zymar; Zymarin","0.003; 0.005; Eskayef Pharmaceuticals Ltd.; Eskayef Pharmaceuticals Ltd.
(Mfg. By: Allergan Pharmaceuticals International Ltd.); Ophthalmic Solution; Opsonin Pharma Ltd.","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Gatipro; Gatsina; Incepta Pharmaceuticals Ltd.; Ophthalmic Solution; Popular Pharmaceuticals Ltd.; Tag; Tget","medex.com.bd"
"DRUG-gentian-violet-0351","Gentian Violet","Dermatologicals","drug","Gentian Violet | (0.01, 0.02, Kawsar Chemicals) | Dosage: 0.02, Topical Solution | Mfr: Kawsar Chemicals, Momotaz Pharmaceuticals Ltd.","0.01; 0.02; Kawsar Chemicals","0.02; Topical Solution","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Kawsar Chemicals; Momotaz Pharmaceuticals Ltd.; Pharmik Laboratories Ltd.","medex.com.bd"
"DRUG-gilteritinib-fumarate-0352","Gilteritinib Fumarate","Oncology","drug","Gilteritinib Fumarate | (40 mg) | Dosage: Tablet | Mfr: Everest Pharmaceuticals Ltd.","40 mg","Tablet","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Everest Pharmaceuticals Ltd.","medex.com.bd"
"DRUG-glecaprevir-pibrentasvir-0353","Glecaprevir + Pibrentasvir","Antivirals","drug","Glecaprevir + Pibrentasvir | (100 mg+40 mg) | Dosage: Tablet | Mfr: Everest Pharmaceuticals Ltd.","100 mg+40 mg","Tablet","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Everest Pharmaceuticals Ltd.","medex.com.bd"
"DRUG-glibenclamide-0354","Glibenclamide","Antidiabetics","drug","Glibenclamide | (5 mg, ACME Laboratories Ltd., Skylab Pharmaceuticals Ltd.) | Dosage: 5 Mg, Tablet | Mfr: Jayson Pharmaceutical Ltd., Opsonin Pharma Ltd.","5 mg; ACME Laboratories Ltd.; Skylab Pharmaceuticals Ltd.","5 Mg; Tablet","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Jayson Pharmaceutical Ltd.; Opsonin Pharma Ltd.; Square Pharmaceuticals PLC; Suganil","medex.com.bd"
"DRUG-gliclazide-0355","Gliclazide","Antidiabetics","drug","Gliclazide | (30 mg, 60 mg, 80 mg) | Dosage: 30 Mg, 60 Mg, 80 Mg | Mfr: Comprid, Comprid XR","30 mg; 60 mg; 80 mg; Astra Biopharmaceuticals Ltd.; Consucon MR; Diacon; Diamicron MR; Incepta Pharmaceuticals Ltd.; Square Pharmaceuticals PLC","30 Mg; 60 Mg; 80 Mg; Credence Pharmaceuticals Ltd.
(Mfg. By: Apex Pharmaceuticals Ltd.); Incepta Pharmaceuticals Ltd.; Millat Pharmaceuticals Ltd.; Servier Bangladesh Operation; Tablet; Tablet (Modified Release)","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Comprid; Comprid XR; Consucon; Consucon MR; Tablet; Tablet (Modified Release); UniMed UniHealth Pharmaceuticals Ltd.","medex.com.bd"
"DRUG-glimepiride-0356","Glimepiride","Antidiabetics","drug","Glimepiride | (1 mg, 2 mg, Condia) | Dosage: 1 Mg, 2 Mg, 3 Mg | Mfr: Amaryl, Amynil","1 mg; 2 mg; Condia; Dactus; Globex Pharmaceuticals Ltd.; Synovia Pharma PLC.","1 Mg; 2 Mg; 3 Mg; 4 Mg; Acme Laboratories Ltd.; Jenphar Bangladesh Ltd.; Tablet","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Amaryl; Amynil; Condia; Synovia Pharma PLC.; Tablet; UniMed UniHealth Pharmaceuticals Ltd.","medex.com.bd"
"DRUG-glimepiride-metformin-0357","Glimepiride + Metformin","Antidiabetics","drug","Glimepiride + Metformin | (1 mg+500 mg, 2 mg+500 mg, Limaryl M) | Dosage: 1 Mg+500 Mg, 2 Mg+500 Mg, Drug International Ltd. | Mfr: Gemer, Glimitus M","1 mg+500 mg; 2 mg+500 mg; Limaryl M; Limpet-M; Losucon M; Opsonin Pharma Ltd.; Sun Pharmaceutical (Bangladesh) Ltd.; Ziska Pharmaceuticals Ltd.","1 Mg+500 Mg; 2 Mg+500 Mg; Drug International Ltd.; Incepta Pharmaceuticals Ltd.; Opsonin Pharma Ltd.; Popular Pharmaceuticals Ltd.; Tablet (Extended Release); Tablet (Prolonged Release)","EA","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","min_max","fifo","Gemer; Glimitus M; Glims M XR; Pacific Pharmaceuticals Ltd.; Synovia Pharma PLC.; Tablet (Extended Release); Tablet (Sustained Release)","medex.com.bd"
"DRUG-glipizide-0358","Glipizide","Antidiabetics","drug","Glipizide | (2.5 mg, 5 mg, Drug International Ltd.) | Dosage: 5 Mg, Tablet | Mfr: Beximco Pharmaceuticals Ltd., Diaplus XR","2.5 mg; 5 mg; Drug International Ltd.; Kemiko Pharmaceuticals Ltd.; Pacific Pharmaceuticals Ltd.","5 Mg; Tablet","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Beximco Pharmaceuticals Ltd.; Diaplus XR; Glimerol; Medimet Pharmaceuticals Ltd.; Pizide","medex.com.bd"
"DRUG-glipizide-metformin-hydrochloride-0359","Glipizide + Metformin Hydrochloride","Antidiabetics","drug","Glipizide + Metformin Hydrochloride | (2.5 mg+250 mg, 2.5 mg+500 mg, 5 mg+500 mg) | Dosage: 2.5 Mg+250 Mg, 2.5 Mg+500 Mg, 5 Mg+500 Mg | Mfr: Incepta Pharmaceuticals Ltd., Metglip DS","2.5 mg+250 mg; 2.5 mg+500 mg; 5 mg+500 mg; Pacific Pharmaceuticals Ltd.","2.5 Mg+250 Mg; 2.5 Mg+500 Mg; 5 Mg+500 Mg; Tablet","EA","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","min_max","fifo","Incepta Pharmaceuticals Ltd.; Metglip DS; Metglip Plus","medex.com.bd"
"DRUG-glucosamine-hydrochloride-0360","Glucosamine Hydrochloride","Musculoskeletal","drug","Glucosamine Hydrochloride | (500 mg) | Dosage: Tablet | Mfr: Beximco Pharmaceuticals Ltd., Incepta Pharmaceuticals Ltd.","500 mg","Tablet","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Beximco Pharmaceuticals Ltd.; Incepta Pharmaceuticals Ltd.; Orion Pharma Ltd.","medex.com.bd"
"DRUG-glycerol-hypromellose-polyethylene-glyco-0361","Glycerol + Hypromellose + Polyethylene Glycol 400","Ophthalmologicals","drug","Glycerol + Hypromellose + Polyethylene Glycol 400 | (0.2%+0.36%+1%, ACI Limited, Incepta Pharmaceuticals Ltd.) | Dosage: 0.2%+0.36%+1%, Ophthalmic Solution | Mfr: ACME Laboratories Ltd., Ibn Sina Pharmaceuticals Ltd.","0.2%+0.36%+1%; ACI Limited; Incepta Pharmaceuticals Ltd.; Opsonin Pharma Ltd.; Popular Pharmaceuticals Ltd.","0.2%+0.36%+1%; Ophthalmic Solution","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","ACME Laboratories Ltd.; Ibn Sina Pharmaceuticals Ltd.; OSL Pharma Limited; Tritear; Visin; Visitear","medex.com.bd"
"DRUG-glycerol-liquid-sugar-0362","Glycerol + Liquid Sugar","Unclassified Medicines","drug","Glycerol + Liquid Sugar | ((0.75 ml+1.93 ml)/5 ml, Square Pharmaceuticals PLC) | Dosage: (0.75 Ml+1.93 Ml)/5 Ml, Syrup | Mfr: Eskayef Pharmaceuticals Ltd., Incepta Pharmaceuticals Ltd.","(0.75 ml+1.93 ml)/5 ml; Square Pharmaceuticals PLC","(0.75 Ml+1.93 Ml)/5 Ml; Syrup","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Eskayef Pharmaceuticals Ltd.; Incepta Pharmaceuticals Ltd.; Renata PLC","medex.com.bd"
